DX_type,Infection_DX
ICD9,001.0 Cholera due to vibrio cholerae
ICD9,001.1 Cholera due to vibrio cholerae el tor
ICD9,"001.9 Cholera, unspecified"
ICD9,002.0 Typhoid fever
ICD9,002.1 Paratyphoid fever A
ICD9,002.2 Paratyphoid fever B
ICD9,002.3 Paratyphoid fever C
ICD9,"002.9 Paratyphoid fever, unspecified"
ICD9,003.0 Salmonella gastroenteritis
ICD9,003.1 Salmonella septicemia
ICD9,"003.20 Localized salmonella infection, unspecified"
ICD9,003.21 Salmonella meningitis
ICD9,003.22 Salmonella pneumonia
ICD9,003.23 Salmonella arthritis
ICD9,003.24 Salmonella osteomyelitis
ICD9,003.29 Other localized salmonella infections
ICD9,003.8 Other specified salmonella infections
ICD9,"003.9 Salmonella infection, unspecified"
ICD9,004.0 Shigella dysenteriae
ICD9,004.1 Shigella flexneri
ICD9,004.2 Shigella boydii
ICD9,004.3 Shigella sonnei
ICD9,004.8 Other specified shigella infections
ICD9,"004.9 Shigellosis, unspecified"
ICD9,005.0 Staphylococcal food poisoning
ICD9,005.1 Botulism food poisoning
ICD9,005.2 Food poisoning due to Clostridium perfringens (C. welchii)
ICD9,005.3 Food poisoning due to other Clostridia
ICD9,005.4 Food poisoning due to Vibrio parahaemolyticus
ICD9,005.81 Food poisoning due to Vibrio vulnificus
ICD9,005.89 Other bacterial food poisoning
ICD9,"005.9 Food poisoning, unspecified"
ICD9,"008.00 Intestinal infection due to E. coli, unspecified"
ICD9,008.01 Intestinal infection due to enteropathogenic E. coli
ICD9,008.02 Intestinal infection due to enterotoxigenic E. coli
ICD9,008.03 Intestinal infection due to enteroinvasive E. coli
ICD9,008.04 Intestinal infection due to enterohemorrhagic E. coli
ICD9,008.09 Intestinal infection due to other intestinal E. coli infections
ICD9,008.1 Intestinal infection due to arizona group of paracolon bacilli
ICD9,008.2 Intestinal infection due to aerobacter aerogenes
ICD9,008.3 Intestinal infection due to proteus (mirabilis) (morganii)
ICD9,008.41 Intestinal infection due to staphylococcus
ICD9,008.42 Intestinal infection due to pseudomonas
ICD9,008.43 Intestinal infection due to campylobacter
ICD9,008.44 Intestinal infection due to yersinia enterocolitica
ICD9,008.45 Intestinal infection due to Clostridium difficile
ICD9,008.46 Intestinal infection due to other anaerobes
ICD9,008.47 Intestinal infection due to other gram-negative bacteria
ICD9,008.49 Intestinal infection due to other organisms
ICD9,"008.5 Bacterial enteritis, unspecified"
ICD9,008.61 Enteritis due to rotavirus
ICD9,008.62 Enteritis due to adenovirus
ICD9,008.63 Enteritis due to norwalk virus
ICD9,008.64 Enteritis due to other small round viruses [SRV's]
